Model,Count,Year,Type
Hyundai Ioniq Plug-In,0,2013,PHEV
Kia Niro Plug In,0,2013,PHEV
Mercedes GLC 350e Hybrid,0,2013,PHEV
Jaguar I-Pace,0,2013,EV
Hyundai Kona Electric,0,2013,EV
Subaru Crosstrek Hybrid,0,2013,PHEV
Audi e-tron,0,2013,EV
Kia Niro EV,0,2013,EV
Chevy Volt,18805,2014,PHEV
Nissan Leaf,30200,2014,EV
Smart ED,2594,2014,EV
Mitsubishi I EV,196,2014,EV
BMW Active E,0,2014,EV
Prius PHEV,13264,2014,PHEV
Ford Focus EV,1964,2014,EV
Honda Fit EV,407,2014,EV
Tesla Model S,16750,2014,EV
Toyota RAV4 EV,1184,2014,EV
Ford C-Max Energi,8433,2014,PHEV
Honda Accord,449,2014,PHEV
Ford Fusion Energi,11550,2014,PHEV
Chevy Spark,1145,2014,EV
Fiat 500E,1503,2014,EV
Porsche Panamera S E-Hybrid,879,2014,PHEV
Cadillac ELR,1310,2014,PHEV
BMW i3,6092,2014,EV
Mercedes B-Class (B250e),774,2014,EV
BMW i8,555,2014,PHEV
VW e-Golf,357,2014,EV
Kia Soul EV,359,2014,EV
Porsche Cayenne S E-Hybrid,112,2014,PHEV
Mercedes S550 Plug,0,2014,PHEV
Volvo-XC90 Plug In,0,2014,PHEV
Tesla Model X,0,2014,EV
BMW X5,0,2014,PHEV
Hyundai Sonata Plug In,0,2014,PHEV
Audi A3 Plug In,0,2014,PHEV
BMW 3-series Plug-In,0,2014,PHEV
Mercedes GLE 550e,0,2014,PHEV
BMW 7-series Plug-in,0,2014,PHEV
Mercedes C350We,0,2014,PHEV
Chevy Bolt,0,2014,EV
Kia Optima Plug-in,0,2014,PHEV
Hyundai Ioniq EV,0,2014,EV
Chrysler Pacifica Plug-in Hybrid,0,2014,PHEV
Cadillac CT6,0,2014,PHEV
BMW 5-Series Plug in,0,2014,PHEV
MINI Countryman S E,0,2014,PHEV
Porsche Panamera 4 E-H,0,2014,PHEV
Tesla Model 3,0,2014,EV
Honda Clarity BEV,0,2014,EV
Volvo XC60 Plug In,0,2014,PHEV
Volvo S90 Plug In,0,2014,PHEV
Honda Clarity Plug-in,0,2014,PHEV
Mitsubishi Outlander Plug In,0,2014,PHEV
Hyundai Ioniq Plug-In,0,2014,PHEV
Kia Niro Plug In,0,2014,PHEV
Mercedes GLC 350e Hybrid,0,2014,PHEV
Jaguar I-Pace,0,2014,EV
Hyundai Kona Electric,0,2014,EV
Subaru Crosstrek Hybrid,0,2014,PHEV
Audi e-tron,0,2014,EV
Kia Niro EV,0,2014,EV
Chevy Volt,15393,2015,PHEV
Nissan Leaf,17269,2015,EV
Smart ED,1387,2015,EV
Mitsubishi I EV,115,2015,EV
BMW Active E,0,2015,EV
Prius PHEV,4191,2015,PHEV
Ford Focus EV,1582,2015,EV
Honda Fit EV,2,2015,EV
Tesla Model S,26200,2015,EV
Toyota RAV4 EV,18,2015,EV
Ford C-Max Energi,7591,2015,PHEV
Honda Accord,64,2015,PHEV
Ford Fusion Energi,9750,2015,PHEV
Chevy Spark,2629,2015,EV
Fiat 500E,3477,2015,EV
Porsche Panamera S E-Hybrid,407,2015,PHEV
Cadillac ELR,1024,2015,PHEV
BMW i3,11024,2015,EV
Mercedes B-Class (B250e),1906,2015,EV
BMW i8,2265,2015,PHEV
VW e-Golf,4232,2015,EV
Kia Soul EV,1015,2015,EV
Porsche Cayenne S E-Hybrid,1163,2015,PHEV
Mercedes S550 Plug,118,2015,PHEV
Volvo-XC90 Plug In,86,2015,PHEV
Tesla Model X,208,2015,EV
BMW X5,892,2015,PHEV
Hyundai Sonata Plug In,15,2015,PHEV
Audi A3 Plug In,0,2015,PHEV
BMW 3-series Plug-In,0,2015,PHEV
Mercedes GLE 550e,0,2015,PHEV
BMW 7-series Plug-in,0,2015,PHEV
Mercedes C350We,0,2015,PHEV
Chevy Bolt,0,2015,EV
Kia Optima Plug-in,0,2015,PHEV
Hyundai Ioniq EV,0,2015,EV
Chrysler Pacifica Plug-in Hybrid,0,2015,PHEV
Cadillac CT6,0,2015,PHEV
BMW 5-Series Plug in,0,2015,PHEV
MINI Countryman S E,0,2015,PHEV
Porsche Panamera 4 E-H,0,2015,PHEV
Tesla Model 3,0,2015,EV
Honda Clarity BEV,0,2015,EV
Volvo XC60 Plug In,0,2015,PHEV
Volvo S90 Plug In,0,2015,PHEV
Honda Clarity Plug-in,0,2015,PHEV
Mitsubishi Outlander Plug In,0,2015,PHEV
Hyundai Ioniq Plug-In,0,2015,PHEV
